LAYER_L;BLK_NAME;W_L;X1;Y1;X2;Y2;
View002;;0;1.53524e+08;1.57971e+08;1.53427e+08;1.57162e+08;
View002;;0;1.564e+08;1.5679e+08;1.53427e+08;1.57162e+08;
View002;;0;1.5637e+08;1.56275e+08;1.564e+08;1.5679e+08;
View002;;0;1.53427e+08;1.57162e+08;1.5637e+08;1.56275e+08;
View002;;0;1.53427e+08;1.57162e+08;1.53398e+08;1.56647e+08;
View002;;0;1.5637e+08;1.56275e+08;1.53398e+08;1.56647e+08;
View002;;0;1.52418e+08;1.58538e+08;1.49609e+08;1.57525e+08;
View002;;0;1.49554e+08;1.57445e+08;1.52418e+08;1.58538e+08;
View002;;0;1.49609e+08;1.57525e+08;1.49554e+08;1.57445e+08;
View002;;0;1.52363e+08;1.58459e+08;1.52418e+08;1.58538e+08;
View002;;0;1.52363e+08;1.58459e+08;1.49554e+08;1.57445e+08;
View002;;0;1.49715e+08;1.56847e+08;1.52363e+08;1.58459e+08;
View002;;0;1.49554e+08;1.57445e+08;1.49715e+08;1.56847e+08;
View002;;0;1.52524e+08;1.5786e+08;1.52363e+08;1.58459e+08;
View002;;0;1.52524e+08;1.5786e+08;1.49715e+08;1.56847e+08;
View002;;0;1.50071e+08;1.56132e+08;1.52524e+08;1.5786e+08;
View002;;0;1.49715e+08;1.56847e+08;1.49978e+08;1.56132e+08;
View002;;0;1.52806e+08;1.57093e+08;1.52524e+08;1.5786e+08;
View002;;0;1.52806e+08;1.57093e+08;1.50142e+08;1.56132e+08;
View002;;0;1.51158e+08;1.56132e+08;1.52806e+08;1.57093e+08;
View002;;0;1.53045e+08;1.56608e+08;1.52806e+08;1.57093e+08;
View002;;0;1.53045e+08;1.56608e+08;1.51727e+08;1.56132e+08;
View002;;0;1.48547e+08;1.56825e+08;1.479e+08;1.56132e+08;
View002;;0;1.47906e+08;1.56132e+08;1.48547e+08;1.56825e+08;
View002;;0;1.48492e+08;1.56745e+08;1.48547e+08;1.56825e+08;
View002;;0;1.48492e+08;1.56745e+08;1.4792e+08;1.56132e+08;
View002;;0;1.48792e+08;1.56132e+08;1.48877e+08;1.56295e+08;
View002;;0;1.48877e+08;1.56295e+08;1.48726e+08;1.56132e+08;
View002;;0;1.49052e+08;1.56132e+08;1.48877e+08;1.56295e+08;
View002;;0;1.48877e+08;1.56295e+08;1.4865e+08;1.56132e+08;
View002;;0;1.48877e+08;1.56295e+08;1.48492e+08;1.56745e+08;
View002;;0;1.47731e+08;1.43132e+08;1.47937e+08;1.4287e+08;
View002;;0;1.47937e+08;1.4287e+08;1.48303e+08;1.43132e+08;
View002;;0;1.49142e+08;1.4254e+08;1.49417e+08;1.43132e+08;
View002;;0;1.49064e+08;1.43132e+08;1.49142e+08;1.4254e+08;
View002;;0;1.48396e+08;1.43132e+08;1.49142e+08;1.4254e+08;
View002;;0;1.48939e+08;1.42075e+08;1.49142e+08;1.4254e+08;
View002;;0;1.48371e+08;1.43132e+08;1.48939e+08;1.42075e+08;
View002;;0;1.47937e+08;1.4287e+08;1.48939e+08;1.42075e+08;
View002;;0;1.49715e+08;1.56847e+08;1.49562e+08;1.56132e+08;
View002;;0;1.49715e+08;1.56847e+08;1.48877e+08;1.56295e+08;
View002;;0;1.49554e+08;1.57445e+08;1.48877e+08;1.56295e+08;
View002;;0;1.49554e+08;1.57445e+08;1.48492e+08;1.56745e+08;
View002;;0;1.49609e+08;1.57525e+08;1.48492e+08;1.56745e+08;
View002;;0;1.49609e+08;1.57525e+08;1.48547e+08;1.56825e+08;
View002;;0;1.53398e+08;1.56647e+08;1.53045e+08;1.56608e+08;
View002;;0;1.53427e+08;1.57162e+08;1.53045e+08;1.56608e+08;
View002;;0;1.53427e+08;1.57162e+08;1.52806e+08;1.57093e+08;
View002;;0;1.53524e+08;1.57971e+08;1.52806e+08;1.57093e+08;
View002;;0;1.53524e+08;1.57971e+08;1.52524e+08;1.5786e+08;
View002;;0;1.53631e+08;1.58599e+08;1.52524e+08;1.5786e+08;
View002;;0;1.53631e+08;1.58599e+08;1.52363e+08;1.58459e+08;
View002;;0;1.53686e+08;1.58679e+08;1.52363e+08;1.58459e+08;
View002;;0;1.53686e+08;1.58679e+08;1.52418e+08;1.58538e+08;
View002;;0;1.5637e+08;1.56275e+08;1.56718e+08;1.5617e+08;
View002;;0;1.56737e+08;1.56199e+08;1.5637e+08;1.56275e+08;
View002;;0;1.564e+08;1.5679e+08;1.56737e+08;1.56199e+08;
View002;;0;1.57073e+08;1.56699e+08;1.564e+08;1.5679e+08;
View002;;0;1.57073e+08;1.56699e+08;1.56496e+08;1.57599e+08;
View002;;0;1.57531e+08;1.57378e+08;1.56496e+08;1.57599e+08;
View002;;0;1.56603e+08;1.58227e+08;1.57531e+08;1.57378e+08;
View002;;0;1.57841e+08;1.57837e+08;1.56603e+08;1.58227e+08;
View002;;0;1.57841e+08;1.57837e+08;1.56658e+08;1.58307e+08;
View002;;0;1.49796e+08;1.43132e+08;1.50838e+08;1.42646e+08;
View002;;0;1.50838e+08;1.42646e+08;1.51062e+08;1.43132e+08;
View002;;0;1.49592e+08;1.43132e+08;1.50494e+08;1.41909e+08;
View002;;0;1.50494e+08;1.41909e+08;1.50838e+08;1.42646e+08;
View002;;0;1.49142e+08;1.4254e+08;1.50494e+08;1.41909e+08;
View002;;0;1.49142e+08;1.4254e+08;1.50276e+08;1.4145e+08;
View002;;0;1.50276e+08;1.4145e+08;1.50494e+08;1.41909e+08;
View002;;0;1.48939e+08;1.42075e+08;1.50276e+08;1.4145e+08;
View002;;0;1.51184e+08;1.41041e+08;1.5304e+08;1.40543e+08;
View002;;0;1.5304e+08;1.40543e+08;1.51203e+08;1.4107e+08;
View002;;0;1.51203e+08;1.4107e+08;1.51184e+08;1.41041e+08;
View002;;0;1.53022e+08;1.40514e+08;1.51184e+08;1.41041e+08;
View002;;0;1.5304e+08;1.40543e+08;1.53022e+08;1.40514e+08;
View002;;0;1.53583e+08;1.42442e+08;1.53939e+08;1.42427e+08;
View002;;0;1.60331e+08;1.562e+08;1.57843e+08;1.57877e+08;
View002;;0;1.60312e+08;1.56172e+08;1.60331e+08;1.562e+08;
View002;;0;1.57843e+08;1.57877e+08;1.57978e+08;1.57744e+08;
View002;;0;1.57843e+08;1.57877e+08;1.57822e+08;1.57845e+08;
View002;;0;1.60393e+08;1.56132e+08;1.60331e+08;1.562e+08;
View002;;0;1.60403e+08;1.43132e+08;1.58407e+08;1.41561e+08;
View002;;0;1.58407e+08;1.41561e+08;1.60418e+08;1.43132e+08;
View002;;0;1.58425e+08;1.4159e+08;1.58407e+08;1.41561e+08;
View002;;0;1.58425e+08;1.4159e+08;1.604e+08;1.43132e+08;
View002;;0;1.59766e+08;1.43132e+08;1.58425e+08;1.4159e+08;
View002;;0;1.58082e+08;1.42066e+08;1.59446e+08;1.43132e+08;
View002;;0;1.58082e+08;1.42066e+08;1.58425e+08;1.4159e+08;
View002;;0;1.58877e+08;1.43132e+08;1.58082e+08;1.42066e+08;
View002;;0;1.57577e+08;1.42711e+08;1.58116e+08;1.43132e+08;
View002;;0;1.57577e+08;1.42711e+08;1.58082e+08;1.42066e+08;
View002;;0;1.57945e+08;1.43132e+08;1.57577e+08;1.42711e+08;
View002;;0;1.57219e+08;1.43132e+08;1.57577e+08;1.42711e+08;
View002;;0;1.57262e+08;1.41059e+08;1.543e+08;1.40458e+08;
View002;;0;1.543e+08;1.40458e+08;1.57243e+08;1.4103e+08;
View002;;0;1.57243e+08;1.4103e+08;1.57262e+08;1.41059e+08;
View002;;0;1.54318e+08;1.40487e+08;1.543e+08;1.40458e+08;
View002;;0;1.54318e+08;1.40487e+08;1.57262e+08;1.41059e+08;
View002;;0;1.57164e+08;1.41648e+08;1.54318e+08;1.40487e+08;
View002;;0;1.57262e+08;1.41059e+08;1.57164e+08;1.41648e+08;
View002;;0;1.5422e+08;1.41076e+08;1.57164e+08;1.41648e+08;
View002;;0;1.5422e+08;1.41076e+08;1.54318e+08;1.40487e+08;
View002;;0;1.57007e+08;1.42451e+08;1.5422e+08;1.41076e+08;
View002;;0;1.57164e+08;1.41648e+08;1.57007e+08;1.42451e+08;
View002;;0;1.54064e+08;1.41879e+08;1.57007e+08;1.42451e+08;
View002;;0;1.54064e+08;1.41879e+08;1.5422e+08;1.41076e+08;
View002;;0;1.56883e+08;1.42999e+08;1.54064e+08;1.41879e+08;
View002;;0;1.57007e+08;1.42451e+08;1.56883e+08;1.42999e+08;
View002;;0;1.53939e+08;1.42427e+08;1.56883e+08;1.42999e+08;
View002;;0;1.53939e+08;1.42427e+08;1.54064e+08;1.41879e+08;
View002;;0;1.56883e+08;1.42999e+08;1.57176e+08;1.43132e+08;
View002;;0;1.57007e+08;1.42451e+08;1.57203e+08;1.43132e+08;
View002;;0;1.57007e+08;1.42451e+08;1.57577e+08;1.42711e+08;
View002;;0;1.57164e+08;1.41648e+08;1.57577e+08;1.42711e+08;
View002;;0;1.57164e+08;1.41648e+08;1.58082e+08;1.42066e+08;
View002;;0;1.57262e+08;1.41059e+08;1.58082e+08;1.42066e+08;
View002;;0;1.57262e+08;1.41059e+08;1.58425e+08;1.4159e+08;
View002;;0;1.57243e+08;1.4103e+08;1.58425e+08;1.4159e+08;
View002;;0;1.57243e+08;1.4103e+08;1.58407e+08;1.41561e+08;
View002;;0;1.53583e+08;1.42442e+08;1.54064e+08;1.41879e+08;
View002;;0;1.53583e+08;1.42442e+08;1.53437e+08;1.41906e+08;
View002;;0;1.53437e+08;1.41906e+08;1.54064e+08;1.41879e+08;
View002;;0;1.53437e+08;1.41906e+08;1.5422e+08;1.41076e+08;
View002;;0;1.53437e+08;1.41906e+08;1.53212e+08;1.4112e+08;
View002;;0;1.53212e+08;1.4112e+08;1.5422e+08;1.41076e+08;
View002;;0;1.53212e+08;1.4112e+08;1.54318e+08;1.40487e+08;
View002;;0;1.53212e+08;1.4112e+08;1.5304e+08;1.40543e+08;
View002;;0;1.5304e+08;1.40543e+08;1.54318e+08;1.40487e+08;
View002;;0;1.53022e+08;1.40514e+08;1.54318e+08;1.40487e+08;
View002;;0;1.53022e+08;1.40514e+08;1.543e+08;1.40458e+08;
View002;;0;1.5666e+08;1.58347e+08;1.53688e+08;1.58719e+08;
View002;;0;1.55262e+08;1.58482e+08;1.5666e+08;1.58347e+08;
View002;;0;1.53688e+08;1.58719e+08;1.53659e+08;1.58676e+08;
View002;;0;1.56635e+08;1.5831e+08;1.5666e+08;1.58347e+08;
View002;;0;1.5242e+08;1.58578e+08;1.49611e+08;1.57565e+08;
View002;;0;1.50573e+08;1.57873e+08;1.5242e+08;1.58578e+08;
View002;;0;1.49611e+08;1.57565e+08;1.49564e+08;1.57496e+08;
View002;;0;1.52385e+08;1.58527e+08;1.5242e+08;1.58578e+08;
View002;;0;1.48549e+08;1.56865e+08;1.47865e+08;1.56132e+08;
View002;;0;1.47872e+08;1.56132e+08;1.48549e+08;1.56865e+08;
View002;;0;1.48495e+08;1.56785e+08;1.48549e+08;1.56865e+08;
View002;;0;1.48495e+08;1.56785e+08;1.47885e+08;1.56132e+08;
View002;;0;1.48502e+08;1.56777e+08;1.48495e+08;1.56785e+08;
View002;;0;1.48533e+08;1.5681e+08;1.48495e+08;1.56785e+08;
View002;;0;1.49611e+08;1.57565e+08;1.48642e+08;1.56888e+08;
View002;;0;1.48537e+08;1.56814e+08;1.48495e+08;1.56785e+08;
View002;;0;1.49611e+08;1.57565e+08;1.48549e+08;1.56865e+08;
View002;;0;1.53688e+08;1.58719e+08;1.52981e+08;1.58601e+08;
View002;;0;1.53688e+08;1.58719e+08;1.5242e+08;1.58578e+08;
View002;;0;1.57843e+08;1.57877e+08;1.57347e+08;1.58033e+08;
View002;;0;1.57843e+08;1.57877e+08;1.5666e+08;1.58347e+08;
View002;;0;1.53212e+08;1.4112e+08;1.51463e+08;1.41621e+08;
View002;;0;1.51463e+08;1.41621e+08;1.5304e+08;1.40543e+08;
View002;;0;1.51463e+08;1.41621e+08;1.51203e+08;1.4107e+08;
View002;;0;1.53437e+08;1.41906e+08;1.51813e+08;1.42372e+08;
View002;;0;1.51813e+08;1.42372e+08;1.53212e+08;1.4112e+08;
View002;;0;1.51813e+08;1.42372e+08;1.51463e+08;1.41621e+08;
View002;;0;1.53583e+08;1.42442e+08;1.52047e+08;1.42883e+08;
View002;;0;1.52047e+08;1.42883e+08;1.53437e+08;1.41906e+08;
View002;;0;1.52047e+08;1.42883e+08;1.51813e+08;1.42372e+08;
View002;;0;1.50276e+08;1.4145e+08;1.51184e+08;1.41041e+08;
View002;;0;1.51203e+08;1.4107e+08;1.50276e+08;1.4145e+08;
View002;;0;1.50494e+08;1.41909e+08;1.51203e+08;1.4107e+08;
View002;;0;1.51463e+08;1.41621e+08;1.50494e+08;1.41909e+08;
View002;;0;1.50838e+08;1.42646e+08;1.51463e+08;1.41621e+08;
View002;;0;1.51813e+08;1.42372e+08;1.50838e+08;1.42646e+08;
View002;;0;1.51187e+08;1.43132e+08;1.51813e+08;1.42372e+08;
View002;;0;1.52047e+08;1.42883e+08;1.5137e+08;1.43132e+08;
View002;;0;1.52047e+08;1.42883e+08;1.51528e+08;1.43132e+08;
View002;;0;1.53586e+08;1.42482e+08;1.53942e+08;1.42467e+08;
View002;;0;1.60334e+08;1.5624e+08;1.57846e+08;1.57916e+08;
View002;;0;1.60315e+08;1.56211e+08;1.60334e+08;1.5624e+08;
View002;;0;1.57846e+08;1.57916e+08;1.57981e+08;1.57784e+08;
View002;;0;1.57846e+08;1.57916e+08;1.57824e+08;1.57884e+08;
View002;;0;1.60432e+08;1.56132e+08;1.60334e+08;1.5624e+08;
View002;;0;1.56886e+08;1.43039e+08;1.56693e+08;1.42962e+08;
View002;;0;1.56894e+08;1.43004e+08;1.56886e+08;1.43039e+08;
View002;;0;1.53942e+08;1.42467e+08;1.56886e+08;1.43039e+08;
View002;;0;1.53942e+08;1.42467e+08;1.53951e+08;1.42429e+08;
View002;;0;1.56886e+08;1.43039e+08;1.57092e+08;1.43132e+08;
View002;;0;1.53586e+08;1.42482e+08;1.53621e+08;1.42441e+08;
View002;;0;1.53586e+08;1.42482e+08;1.53576e+08;1.42445e+08;
View002;;0;1.56663e+08;1.58386e+08;1.53691e+08;1.58758e+08;
View002;;0;1.55265e+08;1.58521e+08;1.56663e+08;1.58386e+08;
View002;;0;1.53691e+08;1.58758e+08;1.53662e+08;1.58716e+08;
View002;;0;1.56638e+08;1.58349e+08;1.56663e+08;1.58386e+08;
View002;;0;1.52423e+08;1.58618e+08;1.49614e+08;1.57604e+08;
View002;;0;1.50575e+08;1.57913e+08;1.52423e+08;1.58618e+08;
View002;;0;1.49614e+08;1.57604e+08;1.49566e+08;1.57535e+08;
View002;;0;1.52388e+08;1.58566e+08;1.52423e+08;1.58618e+08;
View002;;0;1.48552e+08;1.56905e+08;1.47831e+08;1.56132e+08;
View002;;0;1.47838e+08;1.56132e+08;1.48552e+08;1.56905e+08;
View002;;0;1.48497e+08;1.56825e+08;1.48552e+08;1.56905e+08;
View002;;0;1.48497e+08;1.56825e+08;1.47851e+08;1.56132e+08;
View002;;0;1.48504e+08;1.56817e+08;1.48497e+08;1.56825e+08;
View002;;0;1.48535e+08;1.5685e+08;1.48497e+08;1.56825e+08;
View002;;0;1.49614e+08;1.57604e+08;1.48645e+08;1.56928e+08;
View002;;0;1.48539e+08;1.56854e+08;1.48497e+08;1.56825e+08;
